User,Rating,Date,ReviewText
Gaurav Singh,Rated 2 stars out of five stars,28-Jun-20,"Today I was made a recharge which transaction had became pending, I raised a ticket regarding that an I got notification that recharge couldn't be succeeded so we made recharge again a second amount but after that both became successful. Now how-to recover my loss due to your default. It's never happened in PhonePe which I use from long time."
SABITA SHARMA,Rated 2 stars out of five stars,19-Jun-20,"The over all use is quite good but when it comes to get the refunded amount, at that time the whole complications arrive. When ever the merchant refunded my amount, the whole refunded amount didn't reflect in the wallet every time a lesser amount reflects."
khan consultancy MBBS Abroad,Rated 5 stars out of five stars,27-Jun-20,It is really amazing app. I request to all peoples please use this. I big feature in this app. I tell you when phone pe or paytm show transaction failed then u used this app and put upi id of the person then in just 2 second transaction would be successfully. My phone pe and paytm show transaction failed. I was fully annoyed then i use this app and then transaction fully successful. I'm very happy. Plz use this app except phone pe and paytm
Nitin Varshney,Rated 1 stars out of five stars,19-Jun-20,"I do recharge 399 by using upi, after some processing it shows some error and recharge not happened also money deducted from my account. Trying so many times to connect in customer care but every time call disconnected. Worst money transfer app ever."
Shraddha Varani,Rated 1 stars out of five stars,09-Jun-20,"This is so pathetic, I have my loans going through a partner that's is linked to Mobikwik. Now as once I have updated the app, the instant loan option tells me to refill all the information as befor for the first time I have applied for the loan. The app is not showing me any such feature for help neither no customer care number is there for direct contact. I also wanted to apply for my next moratorium request but I can't as the app is not showing me my existing loans details and moratorium link"
Harish Govekar,Rated 2 stars out of five stars,24-Jun-20,I recharged for my Vodafone number but it didn't showed up. Then I had to use other means for recharge. It totally wasted my time and money. Even when I initiated complaint they are saying it was done successfully which is wrong. They didn't even give my refund.
Gul Nawaz,Rated 1 stars out of five stars,27-Jun-20,Bad exp. With mobikwik. My seceuirty pin is blocked in 5-5-2020 and i submit required documents to mobikwik. Now 26-06-2020 my seceurity pin is blocked now. No any reply no any action to deactivate the sec.pin from mobikwik team. Very very bad exp. With mobikwik.
Thamburan Vgp,Rated 5 stars out of five stars,17-Jun-20,Hello idea I am begging you to add idea billing option in my google play. Iam begging for that. Please hear my request. Please tell how to enable idea billing In. google play. Help please I have set idea as primary sim. Even I can't enable that. Please do anything. Iam beggig idea
Kunal Sharma,Rated 4 stars out of five stars,12-Jun-20,"After my first transaction, I can say, it's working good for me. I hope, I will not have to change my review for this app. You guys will always give me good service..right. A mistake in a month is acceptable but if it exceeds, that means the job is not being taken seriously. You can decide now where you stand. Good luck 🐎"
Shambhukumar Sonar,Rated 1 stars out of five stars,28-Jun-20,"I am raising concern since last one year through App as I am unable to do KYC through Aadhar( Error-account linked with another). However, technical team from Mobi are still unable to resolve and I am unable do transactions through this App. What a App and Technical Team! Shabby and hateful App and Technical Team."
Sneha Gupta,Rated 1 stars out of five stars,15-Jun-20,"This app fools you about super cash which people usually understand of direct cash back provided to your account but after transaction you came to know that super cash also needs to turn into cash which is approximately 1/3 of their so called super cash. Also once you have added your bank account in it and when you tries to remove it, it says there is a problem in your bank however it is not so. This app make you total fool."
Deepak PS,Rated 1 stars out of five stars,12-Jun-20,Had the worst experience ever . From KYC verification to fund transfer this app suck to the core . The amount transferred from wallet to wallet has not been credited . Does not have a proper customer support either. By far the worst app to use ever
J ramana,Rated 1 stars out of five stars,22-Jun-20,Worst app..we paid electricity bill last month still its not updated..and also we paid amount to myntra ..amount was deducted..but its not paid to myntra..they are problem was solve with in 12hrs ..still its not solved..so every one dont pay to any amount through this app. Worst indian app
vishal singh,Rated 4 stars out of five stars,27-Jun-20,The app is better than the past....all over good app... instead using paytm we can use this app...just one request from my end please add mannapuram gold loan emi repayment option into your emi payment section it will be easy to pay interest or to do part payment....
throttle machines,Rated 1 stars out of five stars,14-Jun-20,International recharge not working. I can't send toppop.it's very worst. Now I'm using another app for my international recharge but Everytime i open this app for toppop it's not working.................
Rajat Mehra,Rated 1 stars out of five stars,23-Jun-20,Still not able to transfer money using UPI from your application. Showing an error that PSP NOT AVAILABLE. Kindly resolve the issue as soon as possible.
ABHISHEK GOSAVI,Rated 3 stars out of five stars,27-Jun-20,Although it's a nice app but many a times is has transaction issues. Many times the amount doesn't gets added to wallet even though it is Debited from bank account.
Yogesh Bhende,Rated 4 stars out of five stars,03-Jun-20,Best app to use specifically I like the Supercash idea. This app is not like other apps where we can't get some discounts while recharging and bill payment. Just want to add one thing to include dark mode in the app.
Bhanuraj Tiwari,Rated 1 stars out of five stars,14-Jun-20,Froud app because I have purchased a Amazon gift card (500rs.) through this app but money is deducted and I have not received my gift card since 2 days while it is showing do wait for 48 hours. Please solve my issue otherwise I will case file against you in syber cell. If you solve it as soon as possible I will edit my review with good ratings.
ARPIT VERMA,Rated 1 stars out of five stars,18-Jun-20,"**ALERT FAKE **DO NOT USE**SCAM**UNINSTALL** Guys please do not install this application for services, this is completely fake. If your bank account is registered with this application, they will automatically debit any amount from your account and will give you silly excuses on the same. First of all there is no support for help in this app, if by luck you get help and complains about the issue, they will not listen and will behave rude with you finally will make customer as a fool to use app."
AMEER ASHAREF,Rated 5 stars out of five stars,20-Jun-20,"Imps done, not transfer to account, deduct from wallet, after 2 days no response from mobikwik. Mailed and raise complaint in app. There is no solution from this developer. Still my money not credited or refunded after 8th working day"
asha kumari,Rated 1 stars out of five stars,09-Jun-20,Worst App...you can never catch hold of customer care in this app..they will keep saying that you can't raise ticket after 12 hours....if you really want to risk your money..go ahead...technology is so bad that your money will be debited and the other person won't receive it...and your money is deducted...and no active customer care exists...now keep wondering ..how to get money back...Don't go on star rating...I am sure they themselves manipulating the rating. Through agents of their own.
piu c,Rated 2 stars out of five stars,09-Jun-20,"Get problem while making payment Every time i try to make payment it shows me a message unfortunately ""some processing error occurred"" and my transaction gets failed... Otherwise the app is good"
Kanchan Prajapati,Rated 1 stars out of five stars,20-Jun-20,"Totally fraud app. I recharged a mobile number, recharge shown succeed and money deducted but actually recharge not done nor confirmation message came on mobile. There are not any option of customer care."
vikas saini,Rated 1 stars out of five stars,28-Jun-20,Not user friendly. I do not know why people are using this app. Not enough options to get money back from Wallet. To much complicated . 1 star is too much for this app
Aravind R,Rated 1 stars out of five stars,26-Jun-20,unable to login.. i mailed several times and raised ticket but no response. when i try with mobile it says alreadu associated with another mail and whe i try with email it says user disabled. worst experience
Harikrishnan S,Rated 2 stars out of five stars,04-Jun-20,After the recent update app in not opening.. whenever i try to open it it freezes in a black window.. was working perfectly before but now it getting stuck.. really pathetic..
Rishi Raheja,Rated 1 stars out of five stars,14-Jun-20,My account was disabled for no reason. I received a reply from developer to write a mail regarding the same. It's been 5 days but no reply.
ANIMESH DAS,Rated 1 stars out of five stars,09-Jun-20,FRAUD...This app really frustrates me..Now you can't even use supercash while buying Gift Cards..this is unbearable..the gift card page says we can use 5 percent instant discount while purchasing but it doesn't give option to use that...THIS IS MOBIKWIK FRAUD..Is there any option to give it Zero star????..
Lakhan,Rated 1 stars out of five stars,28-Jun-20,"Unable to remove my bank account, always this thing pops up ""your bank is a experiencing problem"" meanwhile i didn't face this kind of problem on some other app......."
Jishnu Alathumpara,Rated 4 stars out of five stars,08-Jun-20,One of the best app for recharging... I very like mobikwik.. Some improvement required in upi section... That is we cant add contacts in upi and there is no notification while crediting money through mobikwik upi... Else app is very useful....Thanks mobikwik..
nikhilesh gupta,Rated 1 stars out of five stars,12-Jun-20,"I used my promo code, after successfully transaction, they told upgrade your details.. No cash back there.. I have done 4- 5 transactions to just redeem my coupons... Worst app... Want to give negative marking, but not awailble. 😠😠😠.. Third class app."
Inder Jeet,Rated 1 stars out of five stars,21-Jun-20,Very poor app they run refer and earn orogramme but donot provide cashback. Even they are not replying. Very bad costumer care support. Non working email id. No way to contact them.
Nitin Belpawar,Rated 4 stars out of five stars,16-Jun-20,"Good but not excellent as terms and conditions to get cashback are miss guided, it should be clarify the terms and conditions very clearly."
sri shiva,Rated 1 stars out of five stars,08-Jun-20,I am full disappointed in this they are saying that they will give loan but it's not giving only I am trying from 1year but it's showing that we are working on your area something like that it's comeing I think it's not use full in this app from 1 year same reason
Ramesh jangid,Rated 1 stars out of five stars,25-Jun-20,Yesterday i have recharged with this app and money was deducted but recharged did not complete . i trying to contact with costumer but recharge transection did not open and give detail .. Very bad experiance with mobikwik.
Saurabh Andurlekar,Rated 5 stars out of five stars,08-Jun-20,The Application is great in terms of paying bills and money transfer. Everything is very fast and hassel free. Needs more improvement on support portal because sometimes the problem goes unanswered.
Nikita Verma,Rated 1 stars out of five stars,18-Jun-20,"Do not use this app they are cheater of our valuable data, 500000 loan in few second and if you fill every thing then msg popup, we are doing hard we can not give you loan. I am trying from 2019 but still they do not have money.But mobikwik i do not require any loan,i was just checking your service. I already got loan of 1500000 from 2 bank. they are 3.25% per month means 36-40 % per annum. DMI fiance woking in backup, same company fiance for moneytap. Shame on you mobikwik"
Head Hunter,Rated 1 stars out of five stars,18-Jun-20,For the 2nd time again MONEY DEDUCTED but RECHARGE NOT DONE. Tried to reach customer care but never receive any calls. It's time to delete this useless app from my phone. I will never recommend this useless app to any of my friend. Refund back my money.
Shivam Pandit,Rated 1 stars out of five stars,17-Jun-20,The app doesn't always have a dependable service whereby it is most likely to be unavailable when you actually need to make a transfer. The SuperCash functionality is something which I didn't really like. Not recommended in comparison to other payment applications out there.
F K,Rated 1 stars out of five stars,25-Jun-20,Total out dated... Other apps give Cash back very quickly.. But this app valueless.. I recharge many times with valid promo code.. but this app does not give Cash back yet...
